id,parent_id,url,zh,en,started,ended,updated,subject_tag_ids,media_tag_ids,tool_tag_ids,stage_tag_ids,state_tag_ids,license_tag_ids
llscanner,,https://etblue.github.io/llscanner/,勞基法掃描器,Labor Laws Scanner,2017-03-01,2018-01-01,,open_data;law;labor;sts,web_app,web_planning_or_ux;ui_design;react;react_router;redux;webpack;semantic_ui;schema_design,proto,handling,mit
llscanner_theme_song,llscanner,https://blend.io/etblue/scanner,《勞基法掃描器》主題曲,"Theme Song for ""Labor Laws Scanner""",2017-09-01,,,open_data;law;labor;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
llscanner_release_note,llscanner,https://etblue.blogspot.com/2018/02/experiment-labor-laws-scanner.html,實驗心得：勞基法掃描器——如何把法條轉譯成自動化的判讀程式？以勞動基準法為例,Release Note for Labor Laws Scanner,,2018-02-28,,open_data;law;labor;sts,article,,online,finished,
jrpilot,,https://etblue.github.io/jrpilot/,提案闖天關,JRConf Proposals Explorer,2017-08-01,2017-08-01,,open_data;law;public_deliberation;sts,web_app,web_planning_or_ux;ui_design;react;semantic_ui;schema_design,online,finished,mit
jrpilot_release_note,jrpilot,https://etblue.blogspot.com/2017/08/open-data-combo-deliberative-democracy.html,實驗心得：提案闖天關—— Open Data 與審議民主怎麼 Combo？以司改國是會議資料為例,Release Note for JRConf Proposals Explorer,,2017-08-24,,open_data;law;public_deliberation;sts,article,,online,finished,cc_by-nc
ocf_web,,http://ocf.tw/,開放文化基金會官方網站,Official Website of Open Culture Foundation,2016-06-01,2016-12-01,,open_culture,content_site,web_planning_or_ux;project_management;semantic_ui;jekyll;schema_design,online,finished,mit
ocf_web_release_note,ocf_web,https://etblue.blogspot.tw/2017/06/ocf-official-website.html,成果發表：開放文化基金會（OCF）官方網站,Release Note for Official Website of Open Culture Foundation,,2017-06-22,,open_culture,article,,online,finished,
debater,,http://etblue.github.io/debater/,辯論家,Debater,2016-03-01,2016-08-01,,open_data;media;gossip;sts,web_app,web_planning_or_ux;ui_design;bootstrap;slim;gulp;ai,online,finished,mit
debater_speech,debater,https://docs.google.com/presentation/d/1RxJxZ_HAWZkDNIy9y2UZPZ3M7oNIxcdLJd6UzIO9egc/edit?usp=sharing,Debater 辯論家～網路筆戰大亂鬥 ,Speech about Debater in COSCUP 2016,,2016-08-21,,open_data;media;gossip;sts,slides;infographic,google_slides,online,finished,
debater_theme_music,debater,https://blend.io/etblue/debater,《Debater》主題曲,"Theme Song for ""Debater""",2016-07-01,,2018-03-31,open_data;media;gossip;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
debater_speech_note,debater,https://etblue.blogspot.com/2018/01/debater-coscup-2016.html,演講紀錄：Debater 辯論家～網路筆戰大亂鬥 + 同名主題曲 @ COSCUP 2016,,,2018-01-19,,open_data;media;gossip;sts,article,,online,finished,
gw2inventory,,http://etblue.github.io/gw2inventory,Guild Wars 2 Inventory,Guild Wars 2 Inventory,2015-11-01,,,game,web_app,web_planning_or_ux;ui_design;slim;bootstrap;gulp,online,handling,mit
hackfoldr_2.0,,http://beta.hackfoldr.org/,HackFoldr 2.0,HackFoldr 2.0,2014-07-01,2014-10-01,,open_culture,web_app,ui_design;handlebars;jade;semantic_ui;fire.app,online,finished,
storyliner,,https://etblue.github.io/storyliner,Storyliner,Storyliner - The Interactive Gossip Viewer,2018-04-01,,,open_data;media;gossip;sts,web_app,web_planning_or_ux;ui_design;react;semantic_ui;gh_pages,online,handling,
storyliner_release_note,storyliner,https://etblue.blogspot.com/2018/04/storyliner-interactive-gossip-viewer.html,成果發表：Storyliner——輕鬆替八卦事件製作互動式懶人包，以囧星人與聯合報願景工程的採訪爭議為例,Release Note for Storyliner - The Interactive Gossip Viewer,2018-04-16,2018-04-17,,open_data;media;gossip;sts,article,,online,finished,
mermaid,,https://blend.io/etblue/mermaid,美人魚,Mermaid,2018-04-01,,,labor,song,garage_band;compose;vocal;ai,online,finished,cc_by-nc
noodles,,https://blend.io/etblue/noodles,金黃的泡麵,Noodles,2014-10-01,,,md_lang;education,song,garage_band;compose;lyric;vocal,online,finished,cc_by
flower,,https://blend.io/etblue/flower,雨夜花‧轉來,Flowers In The Rainy Night: Detention,2017-02-01,,,tw_lang;game;formosa,song,garage_band;compose;lyric;vocal,online,finished,cc_by
ocean,,https://blend.io/etblue/ocean,《如果台灣的四周是海洋》主題曲,"Ocean: Theme Song for ""If Taiwan is Surrounded by the Sea""",2017-11-01,,,formosa,song,garage_band;compose;lyric;vocal,online,finished,cc_by
blulu,,https://blulu.tw/,Blulu Metrics - 重新思考網路工具與審議民主的關係,Blulu Metrics - A Rethink of the Relationship Between Web Tools and Deliberative Democracy,,,,public_deliberation;software;sts,content_site,jekyll;jquery;semantic_ui,online,finished,cc_by-nc
blulugamma,blulu,https://docs.google.com/presentation/d/17S4TlF-nkxrLOA4voItLA8L8aQu8sxNV1CwUBFshodg/edit?usp=sharing,從 Blulu 量表看透明的黑箱,Blulu Metrics Gamma Ver. : The Transparent Black Box,,2017-05-13,,public_deliberation;software;sts,slides;infographic,google_slides,online,finished,cc_by-nc
blulugamma_video,blulugamma,https://www.youtube.com/watch?v=J-ijGoWQtvQ,2017-05-13 從 Blulu 量表 (Gamma) 看透明的黑箱 / ETBlue @ 民主深化在臺灣？！系列講座＆研討會,,2017-05-13,2017-05-13,,public_deliberation;software;sts,video,,online,finished,cc_by-nc
blulugamma_speech_note,blulugamma,https://etblue.blogspot.com/2017/05/blulu-gamma-speech-diary.html,演講紀錄： Blulu Gamma @ 民主深化在台灣,"Speech Note for ""Blulu Gamma""",,2017-05-19,,public_deliberation;software;sts,article,,online,finished,cc_by-nc
blulugamma_theme_music,blulugamma,https://blend.io/etblue/blulugamma,《Blulu Gamma 版》主題曲,"Theme Song of ""Blulu Gamma""",2017-04-01,,,public_deliberation;software;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
blulugamma_theme_music_release_note,blulugamma,https://etblue.blogspot.com/2017/04/blulu-gamma.html,新歌發表： Blulu Gamma —— 演講同名主題曲,"Release Note for Theme Song of ""Blulu Gamma""",,2017-04-19,,public_deliberation;software;sts,article,,online,finished,cc_by-nc
nostalgia,,https://blend.io/etblue/nostalgia,鄉愁,Nostalgia,2018-02-01,,,formosa,song,garage_band;compose;vocal,online,finished,cc_by-nc
face,,https://blend.io/etblue/face,面,Face,2017-05-01,,,labor,song,garage_band;compose;lyric;vocal;ai,online,finished,cc_by-nc
loud,,https://blend.io/etblue/loud,勞,Loud,2017-05-01,,,labor,song,garage_band;compose;lyric;vocal;ai,online,finished,cc_by-nc
monologue_en,,https://blend.io/etblue/monologue-en,獨白（英）,Monologue (English Version),2017-02-01,,,game,song,garage_band;compose;vocal,online,finished,cc_by
slow,,https://blend.io/etblue/slow,聲聲慢,Slowing Sound,2016-01-01,,,literature,song,garage_band;compose;vocal;ps,online,finished,cc_by
piglets,,https://blend.io/etblue/piglets,三小豬,Piglets,2017-12-01,,,labor,song,garage_band;compose;vocal;ps,online,finished,cc_by-nc
blupa_theme_music,blupa,https://blend.io/etblue/blupa,《Blupa 量表》主題曲,"Theme Song for ""Blupa Metrics""",2016-04-01,,,open_culture;sts,song,garage_band;compose;lyric;vocal,online,finished,cc_by
fault,,https://blend.io/etblue/fault,錯,Fault,2015-03-01,,,,song,garage_band;compose;lyric;vocal;ai,online,finished,cc_by-nc
berry,,https://blend.io/etblue/berry,莓,Berry,2017-05-01,,,education,song,garage_band;compose;lyric;vocal;ai,online,finished,cc_by-nc
checklist_of_invitation_letter_for_expert_forum,,https://etblue.blogspot.com/2017/11/checklist-of-invitation-letter-for.html,成果發表： [ 空白模版 ] 專家座談會 - 會議邀請信 checklist,Checklist of Invitation Letter for Expert Forum,,2017-11-03,,participation,template,,online,finished,cc_by
how_not_to_irritate_your_cross_disciplinary_partner,,https://etblue.blogspot.com/2017/10/how-not-to-irritate-your.html,成果發表：簡單 3 步驟，跨界人不再惹惱隊友,How not to Irritate Your Cross Disciplinary Partner,,2017-10-31,,sts,infographic,google_slides,online,finished,cc_by
gw2_td_metro_map,,https://github.com/ETBlue/gw2metro,GW2 Tangled Depths 捷運地圖,GW2 Tangled Depths Metro Map,2017-10-08,2017-10-22,,game,infographic,ai,online,finished,cc_by
gw2_td_metro_map_releast_note,gw2_td_metro_map,https://etblue.blogspot.com/2017/10/gw2-tangled-depths-hero-points-run.html,成果發表：GW2 Tangled Depths 捷運地圖 & 超懶人 Hero Points Run 路線教學影片,Release Note for GW2 Tangled Depths Metro Map,,2017-10-22,,game,article,,online,finished,cc_by
gw2_td_metro_map_hp_run_video_demo,gw2_td_metro_map,https://www.youtube.com/watch?v=nPdgCVo0Q4w,GW2 Tangled Depths 捷運地圖：HP Run 示範影片,Video Demo for Hero Points Run with GW2 Tangled Depths Metro Map,2017-10-08,2017-10-22,,game,video,garage_band;premiere,online,finished,cc_by
blupa,,https://docs.google.com/presentation/d/1CE6zagBeT1ZS6ItJFKTPLvRQAq5LQyj4Y-ccrqI-yH8/edit?usp=sharing,開放協作到底行不行？Blupa Metrics 量表與案例 Part 2: Case Studies,Does Open Collaboration Work? Blupa Metrics Part 2: Case Studies,,2016-05-14,,open_culture;sts,slides;infographic,google_slides,online,finished,cc_by
blupa_video,blupa,https://www.youtube.com/watch?v=QwY8WAAqL-U,2016-05-14 瞿筱葳 ipa & 藍一婷 ETBlue／開放協作到底行不行？Blupa Metrics 跨界量表與案例 @ g0v summit 2016,,2016-05-14,2016-05-14,,open_culture;sts,video,,online,finished,cc_by
blupa_speech_note,blupa,https://etblue.blogspot.com/2016/11/blupa-g0v-summit-2016.html,演講紀錄：Blupa 跨界量表 + 同名主題曲 @ g0v summit 2016,"Speech Note for ""Blupa""",,2016-11-01,,open_culture;sts,article,,online,finished,cc_by
blulualpha,blulu,https://docs.google.com/presentation/d/19GFnA_ecKmJRcNNrluilIEVByXmY4YAfOXYQmzwmJWY/edit?usp=sharing,Blulu 網路工具遇上公共審議 - 下半場：網路工具篇,Blulu - Web Applications x Public Deliberation - Part 2: Web Apps,,2015-12-09,,public_deliberation;software;sts,slides;infographic,google_slides,online,finished,cc_by-nc
blulualpha_speech_note,blulualpha,https://etblue.blogspot.com/2015/12/loomio-20-blulu.html,Loomio 創辦人來台活動 20 分鐘演講：「Blulu 量表 alpha 版 - 當網路工具遇上公共審議 - Part 2 網路工具篇」投影片 + 講稿 + 錄影 + 主題曲,"Speech Note for ""Blulu Alpha""",,2015-12-12,,public_deliberation;software;sts,article,,online,finished,cc_by-nc
blulualpha_video,blulualpha,https://www.youtube.com/watch?v=EmvNTjZWaos,Loomio、審議、動民主 - 20151209 - blulu 量表：網路工具篇 - ETBLUE,,2015-12-09,2015-12-09,,public_deliberation;software;sts,video,,online,finished,cc_by-nc
g0v_project_hub_mockup,,http://g0v.github.io/project-hub-mockup/,g0v 專案中心概念展示頁,g0v Project Hub Mockup,2014-10-10,2014-10-28,,,poc,jade;jquery;fire.app,idea,discontinued,cc0
don_democracy,,,動民主,,,,,public_deliberation;software;sts,poc,,,,
don_democracy_history_of_blood_and_tears_release_note,don_democracy,https://etblue.blogspot.com/2015/08/coscup-40.html,COSCUP 2015 議程 40 分鐘演講：「動民主血淚史——為什麼我放棄開發網路審議系統」投影片 + 講稿,"Release Note of ""History of Blood and Tears of the Don Democracy Project - Why I Gave Up Developing Web Deliberation System""",,2015-08-16,,public_deliberation;software;sts,article,,online,finished,cc_by
don_democracy_history_of_blood_and_tears,don_democracy,https://docs.google.com/presentation/d/1mBzmipPm87QcnoaQdKqhk4FBREbYIJ1011GNGt2__FQ/edit?usp=sharing,動民主血淚史——為什麼我放棄開發網路審議系統,History of Blood and Tears of the Don Democracy Project - Why I Gave Up Developing Web Deliberation System,,2015-08-18,,public_deliberation;software;sts,slides,google_slides,online,finished,cc_by
engineer_for_ngo_releast_note,engineer_for_ngo,https://etblue.blogspot.com/2015/08/10-npo.html,網路星期二 10 分鐘短講：「除了做網站/修電腦，工程師還可以在NPO做什麼？」錄影 + 投影片 + 講稿,"Release Note of ""Besides Developing Websites or Fixing Computers, What Can A Engineer Do for NPO?""",,2015-08-18,,sts,article,,online,finished,cc_by
engineer_for_ngo,,https://docs.google.com/presentation/d/1V9Ca2VqnBLJlNvEOel0Lf3euxQ3EU4Qxr3oLEkuLOSo/edit?usp=sharing,除了做網站/修電腦，工程師還可以在NPO做什麼？,"Besides Developing Websites or Fixing Computers, What Can A Engineer Do for NPO?",,2015-05-12,,sts,slides,google_slides,online,finished,cc_by
engineer_for_ngo_video,engineer_for_ngo,https://www.youtube.com/watch?v=1RArKxrbnBU,2015-05-12 網路星期二短講：除了做網站、修電腦之外，工程師還可以在 NPO 做什麼？ / ETBlue,"Video Recording of ""Besides Developing Websites or Fixing Computers, What Can A Engineer Do for NPO?""",2015-05-12,2015-05-12,,sts,video,,online,finished,cc_by
politic_noob_in_318_release_note,politic_noob_in_318,https://etblue.blogspot.com/2015/08/318-5.html,318 佔領立院週年晚會 5 分鐘短講：「草根發聲、翻動憲改！」影片 + 講稿,,,2015-08-18,,sts,article,,online,finished,cc_by
politic_noob_in_318,,https://www.youtube.com/watch?v=QWbTZPaWULE,2015-03-18 政治素人 5 分鐘短講 / ETBlue - 佔領立院 318 週年晚會：人民重返國會，民主轉大人,,2015-03-18,2015-03-18,,sts,video,,online,finished,cc_by
openoffice_sticker_release_note,,https://etblue.blogspot.com/2008/06/portfolioopenoffice-part-1.html,Portfolio:不小心熬夜的OpenOffice推廣貼紙 part 1,"Release Note of ""OpenOffice Stickers""",2008-06-10,2008-06-10,,open_culture,article,ps,online,finished,cc_by
journey_to_g0v_1,,https://etblue.blogspot.com/2014/05/g0v.html,開幹開團到開源：前往 g0v 的奇幻旅程（一）烏托邦的定義,Journey to g0v Part 1,,2014-05-08,,open_culture,article,,online,finished,cc_by
lulouni_kenshin_dojinshi_sample,,https://etblue.blogspot.com/2011/08/my-comic-artwork-rgba.html,漫畫作品：十年前畫的同人誌,,,2011-08-29,,manga,article,,online,finished,cc_by
flash_flex_as_community_logo_release_note,,https://etblue.blogspot.com/2011/01/2011-flash-flex-as-community.html,2011 開春精彩宅聚會：人人有功練之 Flash / Flex / AS 精武讀書會，就在明天（籌備會議）,,,2011-01-27,,open_culture,article,,online,finished,cc_by
invincible_gauls_dubbing_release_note,,https://etblue.blogspot.com/2008/05/portfolio.html,Portfolio:很白癡的動畫配音(美語)處女作...-_-,,,2008-05-12,,anime,article,,online,finished,cc_by